mcs,n_cells,type_1_count,type_2_count,avg_volume,avg_surface
0,45,16,29,24.8,22.31111111111111
150,45,16,29,22.31111111111111,25.066666666666666
300,45,16,29,22.77777777777778,25.288888888888888
450,45,16,29,22.711111111111112,25.77777777777778
600,45,16,29,23.022222222222222,27.244444444444444
750,45,16,29,22.6,25.866666666666667
900,45,16,29,22.6,25.155555555555555
1050,45,16,29,22.133333333333333,26.22222222222222
1200,45,16,29,22.444444444444443,26.977777777777778
1350,45,16,29,22.733333333333334,27.333333333333332
1500,45,16,29,22.6,26.755555555555556
1650,45,16,29,22.68888888888889,26.488888888888887
1800,45,16,29,22.822222222222223,27.644444444444446
1950,45,16,29,22.266666666666666,26.622222222222224
2100,45,16,29,22.6,26.88888888888889
2250,45,16,29,22.533333333333335,26.8
2400,45,16,29,22.733333333333334,26.977777777777778
2550,45,16,29,22.488888888888887,27.77777777777778
2700,45,16,29,22.622222222222224,28.31111111111111
2850,45,16,29,22.8,27.333333333333332
3000,45,16,29,22.4,27.955555555555556
