mcs,n_cells,type_1_count,type_2_count,avg_volume,avg_surface
0,45,23,22,24.711111111111112,20.755555555555556
100,35,16,19,20.914285714285715,26.0
200,22,16,6,18.681818181818183,24.90909090909091
300,16,16,0,20.75,22.375
400,16,16,0,21.625,23.0
500,16,16,0,19.8125,21.875
600,16,16,0,20.3125,22.125
700,16,16,0,21.0,22.375
800,16,16,0,21.375,23.0
900,16,16,0,21.3125,22.25
1000,16,16,0,21.0,22.375
1100,16,16,0,20.6875,21.75
1200,16,16,0,20.625,21.875
1300,16,16,0,20.9375,22.875
1400,16,16,0,21.25,22.125
1500,16,16,0,20.4375,22.0
1600,16,16,0,20.8125,22.25
1700,16,16,0,21.0625,22.25
1800,16,16,0,20.375,21.875
1900,16,16,0,20.75,23.125
2000,16,16,0,21.0625,21.75
