mcs,n_cells,type_1_count,type_2_count,avg_volume,avg_surface
0,25,15,10,24.76,23.04
150,25,15,10,39.44,34.16
300,50,30,20,30.06,32.56
450,50,30,20,45.12,40.04
600,100,60,40,35.61,34.32
750,198,119,79,25.863636363636363,29.86868686868687
900,200,120,80,40.56,37.34
1050,400,240,160,29.4375,31.465
1200,411,249,162,43.18491484184915,37.956204379562045
1350,800,480,320,27.65,30.05
1500,800,480,320,28.125,29.5925
1650,800,480,320,28.125,29.515
1800,800,480,320,28.125,29.4775
1950,800,480,320,28.125,29.81
2100,800,480,320,28.125,29.8825
2250,800,480,320,28.125,29.67
2400,800,480,320,28.125,29.645
2550,800,480,320,28.125,29.9275
2700,800,480,320,28.125,29.4025
2850,800,480,320,28.125,29.7425
3000,800,480,320,28.125,29.7025
