mcs,n_cells,type_1_count,type_2_count,avg_volume,avg_surface
0,25,12,13,24.72,22.32
200,25,12,13,37.0,39.6
400,40,23,17,32.925,39.1
600,50,24,26,37.84,35.9
800,81,46,35,32.49382716049383,33.333333333333336
1000,99,48,51,38.07070707070707,35.91919191919192
1200,156,92,64,33.1025641025641,36.67307692307692
1400,202,102,100,36.84653465346535,39.68811881188119
1600,304,184,120,33.76973684210526,39.151315789473685
1800,405,209,196,34.696296296296296,38.708641975308645
2000,565,368,197,31.99646017699115,39.336283185840706
2200,612,404,208,34.83660130718954,41.52287581699346
2400,857,619,238,26.254375729288213,36.018669778296385
2600,937,736,201,24.012806830309497,35.51760939167556
2800,870,736,134,25.862068965517242,37.289655172413795
3000,817,721,96,27.539779681762546,38.5875152998776
3200,742,664,78,30.32345013477089,41.80862533692722
3400,717,664,53,31.380753138075313,43.08507670850767
3600,700,664,36,32.142857142857146,42.58
3800,689,664,25,32.65602322206096,43.283018867924525
4000,675,664,11,33.333333333333336,44.05925925925926
